EMA_short,EMA_long,Total_Trades,Profit_Trades,Loss_Trades,Net_Profit
97,98,26,8,18,222410.2515
97,100,26,9,17,222170.4087
98,99,26,9,17,222170.4087
5,8,430,131,299,222122.0709
62,93,34,11,23,221130.2735
66,86,34,11,23,220580.3709
96,100,26,8,18,216880.3695
97,99,26,8,18,216880.3695
98,100,26,9,17,214850.4877
67,85,36,11,25,212110.2529
74,78,34,11,23,211560.2529
75,77,34,11,23,211560.2529
61,97,34,12,22,208369.8709
57,100,34,10,24,207230.0297
60,100,34,11,23,202310.1559
59,96,34,11,23,199650.2929
61,95,34,12,22,194920.0663
60,96,34,11,23,194280.1261
64,89,34,11,23,190630.3709
94,100,28,8,20,188540.5249
95,99,28,8,20,188540.5249
60,95,34,11,23,186860.1555
61,94,34,11,23,186860.1555
74,94,32,12,20,184945.2139
75,93,32,12,20,184945.2139
77,90,32,12,20,184945.2139
64,90,34,11,23,180650.3905
65,89,34,11,23,180630.2725
62,91,34,11,23,180620.4109
60,94,34,11,23,176270.2149
70,86,34,11,23,174890.2817
71,85,34,11,23,174890.2817
72,84,34,11,23,174890.2817
73,83,34,11,23,174890.2817
74,82,34,11,23,174890.2817
63,91,34,11,23,174120.4099
65,88,34,11,23,174120.4099
66,87,34,11,23,174120.4099
63,92,34,11,23,173960.2039
67,86,36,11,25,171270.3115
68,86,34,12,22,171199.9501
69,85,34,12,22,171199.9501
96,98,30,9,21,170850.6809
94,99,30,9,21,170750.2929
95,98,30,9,21,170750.2929
93,98,30,9,21,170670.3133
94,97,30,9,21,170670.3133
95,96,30,9,21,170670.3133
67,88,34,12,22,170199.9491
84,100,30,9,21,168359.9601
85,99,30,9,21,168080.0785
86,98,30,9,21,168080.0785
87,97,30,9,21,168080.0785
61,100,34,11,23,167479.9793
67,87,36,12,24,165979.8331
73,95,32,12,20,165405.1759
69,84,34,11,23,165150.2919
81,86,32,12,20,164895.2129
82,85,32,12,20,164895.2129
83,84,32,12,20,164895.2129
63,90,34,11,23,164050.2929
68,85,34,11,23,162710.2529
63,96,34,11,23,162590.2341
76,91,32,12,20,162425.0977
62,94,34,12,22,162389.8917
63,93,34,12,22,162080.1257
93,100,30,9,21,160680.2735
64,91,34,12,22,160530.0281
65,90,34,12,22,160530.0281
78,89,32,12,20,160155.1739
79,88,32,12,20,160155.1739
88,96,32,9,23,159609.9605
89,95,32,9,23,159609.9605
90,94,32,9,23,159609.9605
91,93,32,9,23,159609.9605
75,91,32,12,20,157784.8637
76,90,32,12,20,157784.8637
77,89,32,12,20,157784.8637
80,87,32,12,20,157705.1739
60,97,34,12,22,156999.8515
83,100,30,9,21,153950.1957
66,100,32,11,21,153529.9811
67,99,32,11,21,153529.9811
61,96,34,12,22,153429.9297
62,95,34,12,22,153419.9697
84,99,30,9,21,152670.1177
66,89,36,12,24,152059.9101
96,97,30,9,21,151890.3319
62,98,34,11,23,151460.1557
66,88,34,11,23,151099.9981
70,100,32,11,21,151090.2337
64,94,34,11,23,149570.1647
65,93,34,11,23,149570.1647
72,97,32,11,21,148175.1945
62,97,34,11,23,147870.1645
87,96,30,9,21,147640.0385
88,95,30,9,21,147640.0385
89,94,30,9,21,147640.0385
90,93,30,9,21,147640.0385
91,92,30,9,21,147640.0385
62,92,34,11,23,147540.3319
70,87,34,11,23,147510.3987
66,90,36,12,24,145930.3187
85,98,32,9,23,144809.9605
86,97,32,9,23,144809.9605
72,96,32,11,21,144655.0783
76,80,34,11,23,144430.3207
77,79,34,11,23,144430.3207
73,80,34,12,22,144210.0575
74,79,34,12,22,144210.0575
65,91,34,12,22,142660.2027
68,94,32,12,20,141580.1277
61,99,34,11,23,141510.1547
64,92,34,12,22,141270.1647
91,100,30,9,21,141050.3913
92,99,30,9,21,141050.3913
67,90,34,11,23,139120.3597
68,89,34,11,23,139120.3597
69,88,34,11,23,139120.3597
61,93,34,11,23,138890.1359
90,100,30,9,21,138560.3523
91,99,30,9,21,138560.3523
92,98,30,9,21,138560.3523
66,99,32,12,20,137719.8739
